edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
tz_3jCS7E4Nb3qBkgP0MIoqPQ__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0026_11101CB4,tz_3jCS7E4Nb3qBkgP0MIoqPQ,ez_ZN_0026_11101CB4,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3jCS7E4Nb3qBkgP0MIoqGs,floor_level_01,tz_3jCS7E4Nb3qBkgP0MIoqGs,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3jCS7E4Nb3qBkgP0MIoqGs__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0027_09FD8042,tz_3jCS7E4Nb3qBkgP0MIoqGs,ez_ZN_0027_09FD8042,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3xtnrBUgHBCwRh_xfyB626,floor_level_01,tz_3xtnrBUgHBCwRh_xfyB626,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3xtnrBUgHBCwRh_xfyB626__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0028_99B51E86,tz_3xtnrBUgHBCwRh_xfyB626,ez_ZN_0028_99B51E86,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_03__FLOOR_HAS_ROOM__tz_3b3bVmE5P4tBwtV6k__euI,floor_level_03,tz_3b3bVmE5P4tBwtV6k__euI,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3b3bVmE5P4tBwtV6k__euI__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0029_EBFF8A64,tz_3b3bVmE5P4tBwtV6k__euI,ez_ZN_0029_EBFF8A64,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_03__FLOOR_HAS_ROOM__tz_3b3bVmE5P4tBwtV6k__eqi,floor_level_03,tz_3b3bVmE5P4tBwtV6k__eqi,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3b3bVmE5P4tBwtV6k__eqi__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0030_D2E42246,tz_3b3bVmE5P4tBwtV6k__eqi,ez_ZN_0030_D2E42246,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_04__FLOOR_HAS_ROOM__tz_3b3bVmE5P4tBwtV6k__e0O,floor_level_04,tz_3b3bVmE5P4tBwtV6k__e0O,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3b3bVmE5P4tBwtV6k__e0O__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0031_FAD1FC41,tz_3b3bVmE5P4tBwtV6k__e0O,ez_ZN_0031_FAD1FC41,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_04__FLOOR_HAS_ROOM__tz_3b3bVmE5P4tBwtV6k__e4Q,floor_level_04,tz_3b3bVmE5P4tBwtV6k__e4Q,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3b3bVmE5P4tBwtV6k__e4Q__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0032_6F561391,tz_3b3bVmE5P4tBwtV6k__e4Q,ez_ZN_0032_6F561391,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_02__FLOOR_HAS_ROOM__tz_3H2AkZFqzChQTN2UOTW_7V,floor_level_02,tz_3H2AkZFqzChQTN2UOTW_7V,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3H2AkZFqzChQTN2UOTW_7V__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0033_D39EEAB2,tz_3H2AkZFqzChQTN2UOTW_7V,ez_ZN_0033_D39EEAB2,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_02__FLOOR_HAS_ROOM__tz_3H2AkZFqzChQTN2UOTW_62,floor_level_02,tz_3H2AkZFqzChQTN2UOTW_62,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3H2AkZFqzChQTN2UOTW_62__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0034_07287086,tz_3H2AkZFqzChQTN2UOTW_62,ez_ZN_0034_07287086,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_02__FLOOR_HAS_ROOM__tz_3xtnrBUgHBCwRh_xfyB4Ic,floor_level_02,tz_3xtnrBUgHBCwRh_xfyB4Ic,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
