ifc_global_id,ifc_class,kind,field,value,status
3B_HSwvvv2twUmnPkefFCS,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFC3,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFC3,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFC2,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFC2,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFCD,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFCD,IfcAlarm,alarm,system_code,T0401,present
0fm3GrOJ5Cmh0l9GPspjan,IfcLightFixture,lighting,voltage_v,230.0,present
0fm3GrOJ5Cmh0l9GPspjan,IfcLightFixture,lighting,design_power_w,0.0,explicit_zero_placeholder
0fm3GrOJ5Cmh0l9GPspjan,IfcLightFixture,lighting,power_factor,0.97,present
0fm3GrOJ5Cmh0l9GPspjan,IfcLightFixture,lighting,phase_count,1.0,present
0fm3GrOJ5Cmh0l9GPspjan,IfcLightFixture,lighting,system_code,S0301,present
0Jyw$nkB15f842xTCAbMB_,IfcLightFixture,lighting,voltage_v,230.0,present
0Jyw$nkB15f842xTCAbMB_,IfcLightFixture,lighting,design_power_w,0.0,explicit_zero_placeholder
0Jyw$nkB15f842xTCAbMB_,IfcLightFixture,lighting,power_factor,0.97,present
0Jyw$nkB15f842xTCAbMB_,IfcLightFixture,lighting,phase_count,1.0,present
0Jyw$nkB15f842xTCAbMB_,IfcLightFixture,lighting,system_code,S0301,present
0Jyw$nkB15f842xTCAbMBt,IfcLightFixture,lighting,voltage_v,230.0,present
0Jyw$nkB15f842xTCAbMBt,IfcLightFixture,lighting,design_power_w,0.0,explicit_zero_placeholder
0Jyw$nkB15f842xTCAbMBt,IfcLightFixture,lighting,power_factor,0.97,present
0Jyw$nkB15f842xTCAbMBt,IfcLightFixture,lighting,phase_count,1.0,present
0Jyw$nkB15f842xTCAbMBt,IfcLightFixture,lighting,system_code,S0301,present
0Jyw$nkB15f842xTCAbMBm,IfcLightFixture,lighting,voltage_v,230.0,present
0Jyw$nkB15f842xTCAbMBm,IfcLightFixture,lighting,design_power_w,0.0,explicit_zero_placeholder
0Jyw$nkB15f842xTCAbMBm,IfcLightFixture,lighting,power_factor,0.97,present
0Jyw$nkB15f842xTCAbMBm,IfcLightFixture,lighting,phase_count,1.0,present
0Jyw$nkB15f842xTCAbMBm,IfcLightFixture,lighting,system_code,S0301,present
0Jyw$nkB15f842xTCAbMB2,IfcLightFixture,lighting,voltage_v,230.0,present
