edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
cab_3Sg96Yq1H0KeIY_4TWSzDw__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzDw,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzDw__OBJECT_ASSIGNED_TO_ZONE__tz_2xP8Oy_oH5JP_1bqohjppq,cab_3Sg96Yq1H0KeIY_4TWSzDw,tz_2xP8Oy_oH5JP_1bqohjppq,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""4.13""}",
cab_3Sg96Yq1H0KeIY_4TWSzDy__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzDy,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzDy__OBJECT_ASSIGNED_TO_ZONE__tz_0Q4MSUQx531vKL_w06AgEj,cab_3Sg96Yq1H0KeIY_4TWSzDy,tz_0Q4MSUQx531vKL_w06AgEj,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.91""}",
cab_3Sg96Yq1H0KeIY_4TWSzD___OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzD_,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzD___OBJECT_ASSIGNED_TO_ZONE__tz_2Ps55StZr5yRhh62nE9q0_,cab_3Sg96Yq1H0KeIY_4TWSzD_,tz_2Ps55StZr5yRhh62nE9q0_,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""2.82""}",
cab_3Sg96Yq1H0KeIY_4TWSzDe__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzDe,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzDe__OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO175,cab_3Sg96Yq1H0KeIY_4TWSzDe,tz_3M4BY9f2fEkQXYemrsO175,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.55""}",
cab_3Sg96Yq1H0KeIY_4TWSzDj__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzDj,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzDj__OBJECT_ASSIGNED_TO_ZONE__tz_2Ps55StZr5yRhh62nE9q0p,cab_3Sg96Yq1H0KeIY_4TWSzDj,tz_2Ps55StZr5yRhh62nE9q0p,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.96""}",
