load_point_id,circuit_id,board_id,category,system_code,mapping_method,mapping_confidence
lp_26ja02sJrBp8cwCKX0jJvM,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvN,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvK,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvL,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJve,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvf,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvc,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvd,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvw,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvx,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
